,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
1896,Torry Harris Integration Solutions,4.0,354,40,4.1k,"Work Life Balance, Job Security, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | 25 years old | Perth Amboy +6 more
1897,Value Point Systems,3.6,354,44,2k,NaN,NaN,IT Services & Consulting | 201-500 Employees | 32 years old | Bangalore +37 more
1898,Radico Khaitan,3.9,353,--,1.6k,"Job Security, Skill Development / Learning",NaN,Beverage | 1k-5k Employees | Public | 80 years old | Delhi/NCR +52 more
1899,Central Bank of India,3.9,353,--,1.1k,"Job Security, Salary & Benefits, Promotions / Appraisal",NaN,Banking | 10k-50k Employees | Public | 112 years old | Mumbai +87 more
1900,Axiscades,3.3,353,2,2.9k,"Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 1k-5k Employees | Public | 33 years old | Bangalore/Bengaluru +8 more
1901,Reliance Life Sciences,3.6,353,--,2.1k,Job Security,NaN,Pharma | 1k-5k Employees | 22 years old | Mumbai +27 more
1902,Bridgestone India Automotive Products,4.2,353,1,2.2k,"Work Life Balance, Job Security, Company Culture",NaN,Auto Components | 501-1k Employees | 27 years old | Pune +39 more
1903,URC Construction,3.5,352,1,1.9k,NaN,NaN,Engineering & Construction | 1k-5k Employees | 67 years old | Chennai +28 more
1904,Solara Active Pharma Sciences,3.7,352,--,2.5k,NaN,NaN,Pharma | 1k-5k Employees | Public | 5 years old | Chennai +14 more
1905,Emaar India Limited,3.7,352,--,2.2k,NaN,NaN,Real Estate | 501-1k Employees | Public | 18 years old | Delhi/NCR +16 more
1906,Hinduja Housing Finance,4.0,352,6,1.5k,Job Security,NaN,NBFC | 1k-5k Employees | 8 years old | Chennai +106 more
1907,VirtusaPolaris,3.7,352,5,4.1k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 27 years old | Colombo +8 more
1908,ThoughtWorks,4.0,351,2,2.8k,"Work Life Balance, Skill Development / Learning, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | 30 years old | Chicago +11 more
1909,Aptech,3.6,351,1,1.8k,NaN,NaN,Education & Training | 201-500 Employees | Public | 37 years old | Mumbai +67 more
1910,Cotiviti,3.9,351,17,2.9k,"Job Security, Work Life Balance, Company Culture",NaN,Analytics & KPO | 1k-5k Employees | 44 years old | South Jordan +5 more
1911,Lakme,4.2,351,8,1.6k,"Skill Development / Learning, Company Culture, Job Security",NaN,Beauty & Personal Care | 201-500 Employees | Public | 43 years old | Mumbai +67 more
1912,Tekwissen,4.8,351,67,344,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,IT Services & Consulting | 201-500 Employees | 14 years old | Ann Arbor +4 more
1913,Pepperfry,3.5,351,17,1.8k,NaN,NaN,Internet | 1k-5k Employees | 12 years old | Mumbai +35 more
1914,FMC,4.1,351,28,1.5k,"Work Life Balance, Salary & Benefits, Company Culture",NaN,Agro Chemicals | 1k-5k Employees | Forbes Global 2000 | 14 years old | Philadelphia +81 more
1915,RenewBuy,3.7,351,46,1.9k,NaN,NaN,Insurance | 1 Lakh+ Employees | Startup | 9 years old | Gurgaon +70 more
1916,CWT,4.0,351,7,1.7k,"Work Life Balance, Job Security, Company Culture",NaN,Travel & Tourism | 1k-5k Employees | 29 years old | Minnetonka +12 more
1917,NLC,4.4,350,--,1k,"Work Life Balance, Salary & Benefits, Skill Development / Learning",NaN,Metals & Mining | 10k-50k Employees | Fortune India 500 | 67 years old | Chennai +11 more
1918,Fortis Escorts Hospital,4.0,350,--,1k,"Skill Development / Learning, Job Security, Company Culture",NaN,Healthcare | 5k-10k Employees | Public | 35 years old | Delhi/NCR +15 more
1919,Razorpay,3.9,350,131,2.9k,Company Culture,NaN,FinTech | 1k-5k Employees | Indian Unicorn | 9 years old | Bangalore +19 more
1920,Waaree Energies,3.8,350,7,1.9k,NaN,NaN,Power | 51-200 Employees | 34 years old | Mumbai +32 more
1921,Giesecke & Devrient,3.8,350,13,2.1k,"Work Life Balance, Job Security, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | 171 years old | Munich +43 more
1922,Paramount Health Services Tpa,3.9,350,48,1.9k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Internet | 1k-5k Employees | 21 years old | Mumbai +27 more
1923,Inspirisys Solution,3.9,349,18,3k,"Work Life Balance, Job Security, Skill Development / Learning",NaN,IT Services & Consulting | 1k-5k Employees | Public | 32 years old | Chennai +40 more
1924,smartData Enterprises,3.5,349,58,2k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 24 years old | White Plains +8 more
1925,Alorica,3.1,349,27,1.4k,"Promotions / Appraisal, Job Security, Company Culture",NaN,BPO | 1k-5k Employees | 24 years old | Irvine +8 more
1926,Alight Solutions,3.9,348,3,2.2k,"Job Security, Work Life Balance, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | 27 years old | Lincolnshire +12 more
1927,Pathkind Diagnostics Private Limited,4.0,348,17,1.5k,"Skill Development / Learning, Salary & Benefits",NaN,Healthcare | 501-1k Employees | 7 years old | Gurgaon/Gurugram +76 more
1928,Debtcare Enterprises,4.4,348,1,240,"Company Culture, Skill Development / Learning, Job Security",NaN,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 15 years old | Hyderabad/Secunderabad +19 more
1929,Federal Mogul Goetze,4.1,348,--,1.5k,"Job Security, Work Life Balance, Company Culture",NaN,Auto Components | 1k-5k Employees | Public | 69 years old | Gurgaon/Gurugram +26 more
1930,North East Small Finance Bank,4.0,348,--,1.4k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Banking | 1k-5k Employees | 7 years old | Guwahati +57 more
1931,ICFAI University,3.9,347,--,1.2k,NaN,NaN,Education & Training | 1k-5k Employees | 20 years old | Dehradun +56 more
1932,Medica Superspecialty Hospital,3.5,347,27,1.6k,Promotions / Appraisal,NaN,Healthcare | 1k-5k Employees | 15 years old | Kolkata +18 more
1933,Hexagon Nutrition,4.0,347,8,1k,"Skill Development / Learning, Work Life Balance, Work Satisfaction",NaN,Food Processing | 501-1k Employees | 30 years old | Mumbai +28 more
1934,Transrail Lighting,3.9,347,1,1.8k,Job Security,NaN,Electronics Manufacturing | 501-1k Employees | 15 years old | Mumbai +57 more
1935,PropTiger.com,4.1,347,88,1.5k,"Salary & Benefits, Company Culture, Skill Development / Learning",NaN,Internet | 1k-5k Employees | 12 years old | Gurgaon +14 more
1936,Andritz,3.8,346,10,2.3k,NaN,NaN,Industrial Machinery | 1k-5k Employees | 27 years old | Graz +16 more
1937,Vijay Nirman Company,3.8,346,--,1.2k,"Job Security, Skill Development / Learning",NaN,Engineering & Construction | 1k-5k Employees | 41 years old | Visakhapatnam/Vizag +31 more
1938,Mars International India,4.2,346,38,1.5k,"Company Culture, Salary & Benefits, Skill Development / Learning",NaN,Food Processing | 1k-5k Employees | 29 years old | McLean +65 more
1939,Allied Blenders & Distillers,4.0,346,--,1.6k,"Job Security, Work Life Balance, Company Culture",NaN,Beverage | 501-1k Employees | 37 years old | Mumbai +64 more
1940,McCain Foods,4.2,346,26,1.3k,"Company Culture, Salary & Benefits, Skill Development / Learning",NaN,Food Processing | 501-1k Employees | 27 years old | Toronto +54 more
1941,S P Singla Constructions,3.7,346,1,1.4k,NaN,NaN,Engineering & Construction | 501-1k Employees | 27 years old | Panchkula +49 more
1942,Mars International India,4.2,346,38,1.5k,"Company Culture, Salary & Benefits, Skill Development / Learning",NaN,Food Processing | 1k-5k Employees | 29 years old | McLean +65 more
1943,Prestige Group,4.2,346,6,2.1k,"Job Security, Company Culture, Work Life Balance",NaN,Real Estate | 1k-5k Employees | 37 years old | Bengaluru +21 more
1944,Sapphire Foods India,4.0,346,45,1.5k,"Skill Development / Learning, Company Culture, Salary & Benefits",NaN,Retail | 5k-10k Employees | 8 years old | Mumbai +49 more
1945,Suroj Buildcon,4.1,346,3,1.3k,"Job Security, Company Culture, Skill Development / Learning",NaN,Engineering & Construction | 1k-5k Employees | 10 years old | Pune +33 more
1946,BKT Tyres,4.0,346,6,1.8k,"Job Security, Salary & Benefits",NaN,Auto Components | 1k-5k Employees | 35 years old | Mumbai +25 more
1947,PayU Payments,3.8,345,130,2.6k,NaN,NaN,FinTech | 1k-5k Employees | Conglomerate | 21 years old | Amsterdam +14 more
1948,TTK Healthcare,4.2,345,17,1.3k,"Job Security, Work Life Balance, Company Culture",NaN,Healthcare | 1k-5k Employees | Public | 95 years old | Chennai +63 more
1949,Jindal Poly Films,3.6,345,4,2.2k,NaN,NaN,Packaging | 1k-5k Employees | Public | 49 years old | Delhi/NCR +10 more
1950,Consulting Engineers Group,4.2,345,33,1.3k,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Engineering & Construction | 1k-5k Employees | Public | 39 years old | Jaipur +52 more
1951,RR,4.1,345,--,31,"Job Security, Company Culture, Work Life Balance",NaN,Chennai +11 more
1952,Srei Equipment Finance,4.4,345,3,1.3k,"Work Life Balance, Company Culture, Job Security",NaN,Financial Services | 1k-5k Employees | Public | 34 years old | Kolkata +75 more
1953,DB Schenker,4.2,345,4,1.8k,"Company Culture, Skill Development / Learning, Job Security",NaN,Logistics | 1k-5k Employees | Conglomerate | 33 years old | Essen +30 more
1954,PC Jewellers,3.8,344,--,1.2k,NaN,NaN,Metals & Mining | 1k-5k Employees | Public | 18 years old | Delhi/NCR +65 more
1955,Supertech,3.8,344,5,2k,"Job Security, Work Life Balance",NaN,Real Estate | 1k-5k Employees | 35 years old | Noida +18 more
1956,F1 Info Solutions Services,3.7,344,9,1.3k,NaN,NaN,IT Services & Consulting | 201-500 Employees | 22 years old | Mumbai +42 more
1957,Avery Dennison,3.9,344,57,1.8k,"Company Culture, Job Security",NaN,Packaging | 1k-5k Employees | Forbes Global 2000 | 28 years old | Glendale +29 more
1958,Zycus Infotech,3.3,344,673,3.1k,"Salary & Benefits, Promotions / Appraisal",NaN,Software Product | 1k-5k Employees | 22 years old | Princeton +5 more
1959,UDAAN CARGO & LOGISTICS,4.1,344,--,1.6k,"Skill Development / Learning, Work Satisfaction, Work Life Balance",NaN,Logistics | 201-500 Employees | 8 years old | New Delhi +74 more
1960,Zycus Infotech,3.3,344,673,3.1k,"Salary & Benefits, Promotions / Appraisal",NaN,Software Product | 1k-5k Employees | 22 years old | Princeton +5 more
1961,Pinnacle Infotech,3.6,344,19,2k,"Job Security, Skill Development / Learning",NaN,IT Services & Consulting | 1k-5k Employees | 31 years old | Houston +15 more
1962,SG Analytics,3.6,344,31,2.2k,NaN,NaN,Analytics & KPO | 1k-5k Employees | 17 years old | Pune +6 more
1963,Alpla,4.1,343,12,1.6k,"Job Security, Skill Development / Learning, Company Culture",NaN,Packaging | 501-1k Employees | 68 years old | Hard +15 more
1964,IDP Education Limited,4.0,343,59,2.1k,"Job Security, Work Life Balance, Company Culture",NaN,EdTech | 1k-5k Employees | 28 years old | Melbourne +45 more
1965,India Post,3.8,343,--,1.2k,"Job Security, Work Life Balance",NaN,Government | 1 Lakh+ Employees | Public | 169 years old | Mysore/Mysuru +139 more
1966,Uppcl,4.0,343,--,1.2k,Skill Development / Learning,NaN,Power | 10k-50k Employees | Public | 24 years old | Lucknow +69 more
1967,National Payments Corporation of India,3.6,343,47,2.6k,"Job Security, Skill Development / Learning",NaN,FinTech | 1k-5k Employees | 13 years old | Mumbai +9 more
1968,Global Autotech,3.8,342,3,2k,Skill Development / Learning,NaN,Auto Components | 201-500 Employees | 18 years old | Greater Noida +8 more
1969,Yokohama,3.8,342,--,1.8k,Job Security,NaN,Auto Components | 1k-5k Employees | 106 years old | tokyo +31 more
1970,Lido Learning,2.2,342,14,1.7k,"Job Security, Work Satisfaction, Company Culture",NaN,EdTech | 201-500 Employees | Startup | 4 years old | Mumbai +17 more
1971,Capital Foods,3.9,342,2,1.3k,Salary & Benefits,NaN,Food Processing | 1k-5k Employees | 27 years old | Mumbai +58 more
1972,Varuna Integrated Logistics,3.8,342,31,1.6k,Job Security,NaN,Logistics | 1k-5k Employees | 27 years old | Gurgaon/Gurugram +47 more
1973,Iron Mountain Inc,4.0,342,2,2.7k,"Company Culture, Work Life Balance",NaN,IT Services & Consulting | 1k-5k Employees | 72 years old | Boston +35 more
1974,Kaya Skin Clinic,4.1,342,16,1.2k,"Skill Development / Learning, Job Security, Company Culture",NaN,Beauty & Personal Care | 501-1k Employees | Public | 20 years old | Mumbai +34 more
1975,Mavenir Systems,3.7,341,11,2.7k,Salary & Benefits,NaN,Software Product | 1k-5k Employees | 6 years old | Richardson +16 more
1976,Glenmark Life Sciences,3.7,341,7,2.9k,Job Security,NaN,Pharma | 201-500 Employees | Public | 46 years old | Mumbai +14 more
1977,Mahendra’s Institute,3.3,341,--,1.1k,"Promotions / Appraisal, Job Security, Salary & Benefits",NaN,Education & Training | 201-500 Employees | 15 years old | Lucknow +86 more
1978,Ramada,3.9,341,--,1.3k,NaN,NaN,Hospitality | 1k-5k Employees | 13 years old | Gurgaon/Gurugram +43 more
1979,Tata International,3.8,341,39,2k,Job Security,NaN,Import & Export | 1k-5k Employees | Public | 61 years old | Mumbai +35 more
1980,Wood Group,4.1,341,--,1.9k,"Job Security, Company Culture, Work Life Balance",NaN,Oil & Gas | 51-200 Employees | 111 years old | Aberdeen City +23 more
1981,Suprajit Engineering,3.7,341,20,2k,Job Security,NaN,Auto Components | 501-1k Employees | Public | 38 years old | Bangalore/Bengaluru +28 more
1982,Amazon Sellers Services,4.2,340,--,861,"Salary & Benefits, Company Culture, Skill Development / Learning",NaN,Retail | 11-50 Employees | Bengaluru/Bangalore +45 more
1983,Bhilosa Industries,3.8,339,4,2.1k,NaN,NaN,Fashion & Textile | 5k-10k Employees | 35 years old | Mumbai +8 more
1984,Hero Cycles,3.4,339,3,1.9k,Promotions / Appraisal,NaN,Automobile | 5k-10k Employees | Public | 67 years old | Gurgaon/Gurugram +35 more
1985,Gujarat Heavy Chemicals,4.0,339,1,1.4k,"Work Life Balance, Job Security, Company Culture",NaN,Chemicals | 1k-5k Employees | Public | 40 years old | Noida +20 more
1986,Cashify,3.7,339,10,1.9k,NaN,NaN,Internet | 501-1k Employees | Startup | 10 years old | Gurgaon +37 more
1987,Prime Focus Technologies,3.4,339,19,2.5k,"Promotions / Appraisal, Salary & Benefits",NaN,Software Product | 201-500 Employees | 15 years old | Mumbai +13 more
1988,SPAR Hypermarkets,4.3,338,7,1.4k,"Company Culture, Job Security, Salary & Benefits",NaN,Retail | 1k-5k Employees | 16 years old | Bangalore/Bengaluru +24 more
1989,Sterling,3.9,338,1,1k,"Work Life Balance, Skill Development / Learning",NaN,Healthcare | 5k-10k Employees | 56 years old | Mumbai +43 more
1990,B. Braun Medical,3.9,338,2,1.4k,"Skill Development / Learning, Work Life Balance",NaN,Healthcare | 501-1k Employees | 184 years old | Melsungen +39 more
1991,Portea Medical,3.8,338,12,1.4k,NaN,NaN,Healthcare | 501-1k Employees | Startup | 10 years old | Bangalore +29 more
1992,National Bulk Handling Corporation,4.0,338,26,1.3k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Agriculture | 1k-5k Employees | 20 years old | Mumbai +63 more
1993,MCM Telecom Equipment,4.0,338,3,1.1k,Skill Development / Learning,NaN,Hardware & Networking | 201-500 Employees | 8 years old | Noida +3 more
1994,Unimoni,3.8,337,1,2.9k,Work Life Balance,NaN,FinTech | 1k-5k Employees | 17 years old | Abu Dhabi +91 more
1995,Flamingo Pharmaceuticals,3.3,337,28,1.7k,"Salary & Benefits, Promotions / Appraisal",NaN,Pharma | 501-1k Employees | Public | 38 years old | Mumbai +10 more
1996,Koch Business Solutions,3.7,337,57,3k,NaN,NaN,Oil & Gas | 1k-5k Employees | 83 years old | Wichita +6 more
1997,Del Monte Foods,4.0,337,9,1.4k,"Job Security, Work Life Balance",NaN,Food Processing | 201-500 Employees | 137 years old | San Francisco +44 more
1998,GTL Infrastructure,4.5,336,--,993,"Work Life Balance, Company Culture, Job Security",NaN,Hardware & Networking | 1k-5k Employees | Public | 19 years old | Mumbai +41 more
1999,ANAROCK Property Consultants,3.8,336,186,2.3k,Company Culture,NaN,Real Estate | 1k-5k Employees | 6 years old | Mumbai +22 more
2000,ANAROCK Property Consultants,3.8,336,186,2.3k,Company Culture,NaN,Real Estate | 1k-5k Employees | 6 years old | Mumbai +22 more
2001,Welspun Corp,3.9,336,--,1.6k,Skill Development / Learning,NaN,Iron & Steel | 5k-10k Employees | Fortune India 500 | 38 years old | Mumbai +17 more
2002,Vimta Labs,3.5,335,3,1.7k,NaN,NaN,Other | 1k-5k Employees | Public | 39 years old | Hyderabad/Secunderabad +22 more
2003,Serum Institute of India,4.2,335,2,2.2k,"Job Security, Work Life Balance, Salary & Benefits",NaN,Biotechnology | 1k-5k Employees | 57 years old | Pune +15 more
2004,Google Operations Center,3.5,335,--,2k,NaN,NaN,Internet | 1k-5k Employees | Hyderabad/Secunderabad +14 more
2005,Ssipl Lifestyle,3.8,334,--,1.2k,NaN,NaN,Retail | 1k-5k Employees | 29 years old | Delhi/NCR +41 more
2006,Navin Fluorine International,4.0,334,1,2.2k,"Job Security, Work Life Balance, Salary & Benefits",NaN,Chemicals | 501-1k Employees | Public | 56 years old | Mumbai +12 more
2007,CSG International,4.2,334,11,2.9k,"Job Security, Company Culture, Work Life Balance",NaN,Software Product | 1k-5k Employees | 29 years old | Englewood +5 more
2008,Ramkrishna Forgings,3.8,334,--,2k,NaN,NaN,Railways | 1k-5k Employees | Public | 42 years old | Kolkata +15 more
2009,ManipalCigna Health Insurance,4.0,334,--,2k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Insurance | 1k-5k Employees | 11 years old | Mumbai +80 more
2010,JSW Paints,4.0,334,3,1.7k,"Job Security, Company Culture, Skill Development / Learning",NaN,Chemicals | 51-200 Employees | 7 years old | Mumbai +71 more
2011,Toyota,4.4,334,2,1.6k,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,Automobile | 5k-10k Employees | 86 years old | Toyota City +82 more
2012,Kokilaben Dhirubhai Ambani Hospital,3.8,334,27,1.5k,"Skill Development / Learning, Job Security",NaN,Healthcare | 1k-5k Employees | 14 years old | Mumbai +14 more
2013,Excitel Broadband,3.7,333,41,1.6k,NaN,NaN,Telecom | 1k-5k Employees | 8 years old | Delhi +33 more
2014,Allegis Group,3.7,333,94,2.9k,NaN,NaN,Recruitment | 501-1k Employees | 40 years old | Hanover +11 more
2015,HealthifyMe,3.2,333,42,1.4k,"Job Security, Promotions / Appraisal, Work Life Balance",NaN,Fitness & Wellness | 1k-5k Employees | Startup | 11 years old | Bangalore/Bengaluru +9 more
